ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_LambdaCDM_tt,residual_LambdaCDM_tt,Dl_LambdaCDM_te,residual_LambdaCDM_te,Dl_LambdaCDM_ee,residual_LambdaCDM_ee
563,2545.99,11.5793,10.6431,1985.84,560.155,-131.298,142.877,28.8033,-18.1602,1985.84,560.155,-131.298,142.877,28.8033,-18.1602
572,2409.8,18.6254,11.8913,2070.4,339.405,-138.216,156.842,27.6086,-15.7173,2070.4,339.405,-138.216,156.842,27.6086,-15.7173
581,2410.13,26.5374,15.4975,2156.54,253.586,-142.301,168.839,25.9875,-10.4901,2156.54,253.586,-142.301,168.839,25.9875,-10.4901
590,2373.46,26.8724,15.2827,2240.22,133.239,-143.103,169.976,24.0339,-8.75124,2240.22,133.239,-143.103,169.976,24.0339,-8.75124
599,2206.46,28.2947,18.225,2317.36,-110.901,-140.093,168.388,21.8299,-3.60491,2317.36,-110.901,-140.093,168.388,21.8299,-3.60491
608,2119.7,32.2515,22.1034,2384.09,-264.39,-132.819,165.07,19.4581,2.64528,2384.09,-264.39,-132.819,165.07,19.4581,2.64528
617,2135.45,23.9273,25.8934,2437.76,-302.303,-121.772,145.699,17.0473,8.84607,2437.76,-302.303,-121.772,145.699,17.0473,8.84607
626,1951.2,10.8452,25.9867,2476.14,-524.94,-107.693,118.538,14.7452,11.2414,2476.14,-524.94,-107.693,118.538,14.7452,11.2414
635,1938.19,7.54114,30.1719,2496.65,-558.466,-91.2325,98.7736,12.6984,17.4735,2496.65,-558.466,-91.2325,98.7736,12.6984,17.4735
644,1859.9,-5.033,32.9222,2496.29,-636.387,-72.9522,67.9192,11.0565,21.8656,2496.29,-636.387,-72.9522,67.9192,11.0565,21.8656
653,1847.08,-15.3753,32.8238,2471.56,-624.479,-53.3317,37.9563,9.97316,22.8506,2471.56,-624.479,-53.3317,37.9563,9.97316,22.8506
662,1848.18,-29.9359,34.7378,2421.75,-573.564,-32.9738,3.03782,9.53309,25.2047,2421.75,-573.564,-32.9738,3.03782,9.53309,25.2047
671,1814.96,-56.9826,36.3808,2350.44,-535.48,-12.7312,-44.2514,9.69622,26.6846,2350.44,-535.48,-12.7312,-44.2514,9.69622,26.6846
680,1760.56,-66.7884,36.6042,2261.05,-500.483,6.54377,-73.3321,10.425,26.1791,2261.05,-500.483,6.54377,-73.3321,10.425,26.1791
689,1822.41,-80.806,38.1163,2156.3,-333.892,24.0196,-104.826,11.6942,26.4222,2156.3,-333.892,24.0196,-104.826,11.6942,26.4222
698,1884.92,-94.2074,38.9399,2038.41,-153.493,38.8374,-133.045,13.5068,25.4332,2038.41,-153.493,38.8374,-133.045,13.5068,25.4332
