ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_QRSF_tt,residual_QRSF_tt,Dl_QRSF_te,residual_QRSF_te,Dl_QRSF_ee,residual_QRSF_ee
1937,245.342,-13.224,20.5827,216.665,28.6771,-18.0439,4.81988,11.6657,8.91691,219.995,25.3471,-15.6849,2.46091,12.2868,8.29584
1954,231.313,-5.86213,-42.7334,218.552,12.7607,-20.4206,14.5585,10.8674,-53.6008,220.155,11.1574,-18.7772,12.9151,11.6934,-54.4268
1971,229.279,-28.0519,51.929,222.206,7.0727,-21.6977,-6.35428,9.81032,42.1187,223.179,6.09927,-20.9135,-7.13845,10.7736,41.1553
1988,225.825,-27.8392,5.28485,226.308,-0.482894,-21.7691,-6.07015,8.59966,-3.31481,227.692,-1.86729,-21.8805,-5.95871,9.62549,-4.34065
2005,240.086,,,229.473,10.6133,-20.6723,,7.36081,,232.222,7.86397,-21.6056,,8.36879,
2030,233.983,,,230.039,3.94329,-17.2815,,5.72852,,236.119,-2.13609,-19.1134,,6.57573,
2063,216.247,,,220.584,-4.33763,-10.9812,,4.32071,,231.853,-15.6068,-13.1959,,4.80577,
2096,204.908,,,199.571,5.33718,-4.89856,,4.00606,,214.897,-9.98879,-6.54424,,4.10711,
2129,200.092,,,171.732,28.3606,-1.07757,,4.5955,,188.323,11.7699,-1.54096,,4.45252,
2162,168.762,,,143.821,24.9408,-0.384635,,5.58944,,158.652,10.1098,0.401892,,5.41937,
2195,140.144,,,121.967,18.1774,-2.38559,,6.39693,,132.876,7.26822,-0.77879,,6.40502,
2228,129.223,,,109.173,20.0508,-5.66123,,6.59771,,115.686,13.5378,-3.94541,,6.89034,
2261,118.304,,,104.793,13.5115,-8.59045,,6.07441,,108.007,10.297,-7.41402,,6.62983,
2294,118.51,,,105.335,13.1746,-9.93919,,5.01161,,107.306,11.2036,-9.66514,,5.70321,
2327,115.407,,,106.323,9.08394,-9.34632,,3.78613,,109.105,6.3021,-9.92267,,4.44322,
2360,114.999,,,104.286,10.7121,-7.26552,,2.77683,,109.101,5.89798,-8.32418,,3.26209,
2393,126.918,,,97.8015,29.116,-4.68562,,2.23371,,104.73,22.188,-5.71764,,2.48788,
2426,90.007,,,87.8309,2.17603,-2.62543,,2.18549,,95.9208,-5.91385,-3.21472,,2.24587,
2459,83.9457,,,76.7083,7.23736,-1.72551,,2.47823,,84.5948,-0.649091,-1.70176,,2.44599,
2492,78.7067,,,67.097,11.6097,-2.06779,,2.85273,,73.5774,5.12931,-1.53739,,2.84893,
