ell,Dl_obs,Dl_te_obs,Dl_ee_obs,Dl_lcdm_tt,residual_lcdm_tt,Dl_lcdm_te,residual_lcdm_te,Dl_lcdm_ee,residual_lcdm_ee,Dl_USMFv4_tt,residual_USMFv4_tt,Dl_USMFv4_te,residual_USMFv4_te,Dl_USMFv4_ee,residual_USMFv4_ee
2162,168.762,,,168.376,0.386153,1.26635,,5.51662,,200.026,-31.2639,-8.87751,,4.41692,
2195,140.144,,,140.272,-0.12791,0.405764,,6.59532,,175.581,-35.4369,-7.69045,,5.09889,
2228,129.223,,,120.572,8.65131,-2.80466,,7.20211,,155.487,-26.2639,-8.42941,,5.84093,
2261,118.304,,,111.071,7.23362,-6.62611,,7.03781,,141.387,-23.0824,-10.3047,,6.29862,
2294,118.51,,,109.739,8.77075,-9.37955,,6.1429,,132.913,-14.4033,-12.3493,,6.2919,
2327,115.407,,,112.064,3.34368,-10.0762,,4.8402,,128.487,-13.0799,-13.7333,,5.79453,
2360,114.999,,,113.239,1.7599,-8.70299,,3.56442,,125.663,-10.6639,-13.9402,,4.94304,
2393,126.918,,,110.04,16.8775,-6.05249,,2.68243,,122.249,4.66899,-12.927,,3.94657,
2426,90.007,,,101.818,-11.8106,-3.3019,,2.36156,,116.736,-26.7286,-10.9769,,3.02837,
2459,83.9457,,,90.2778,-6.33213,-1.47485,,2.53512,,108.663,-24.7176,-8.64542,,2.3584,
2492,78.7067,,,78.3659,0.340812,-1.07501,,2.96579,,98.5721,-19.8654,-6.46237,,2.00497,
